"","Age","Electorate","Sex","count","right_left"
"233","80–84 Years","Māngere","Male",243,-0.586052820553738
"234","85 Years And Over","Māngere","Male",144,-0.586052820553738
"235","0–4 Years","Māngere","Female",3183,-0.586052820553738
"236","5–9 Years","Māngere","Female",3021,-0.586052820553738
"237","10–14 Years","Māngere","Female",3030,-0.586052820553738
"238","15–19 Years","Māngere","Female",2949,-0.586052820553738
"239","20–24 Years","Māngere","Female",2844,-0.586052820553738
"240","25–29 Years","Māngere","Female",2493,-0.586052820553738
"241","30–34 Years","Māngere","Female",2295,-0.586052820553738
"242","35–39 Years","Māngere","Female",2175,-0.586052820553738
"243","40–44 Years","Māngere","Female",2310,-0.586052820553738
"244","45–49 Years","Māngere","Female",2103,-0.586052820553738
"245","50–54 Years","Māngere","Female",1857,-0.586052820553738
"246","55–59 Years","Māngere","Female",1503,-0.586052820553738
"247","60–64 Years","Māngere","Female",1332,-0.586052820553738
"248","65–69 Years","Māngere","Female",1038,-0.586052820553738
"249","70–74 Years","Māngere","Female",792,-0.586052820553738
"250","75–79 Years","Māngere","Female",516,-0.586052820553738
"251","80–84 Years","Māngere","Female",318,-0.586052820553738
"252","85 Years And Over","Māngere","Female",228,-0.586052820553738
"253","0–4 Years","Te Tai Tonga","Male",7095,-0.583415597235933
"254","5–9 Years","Te Tai Tonga","Male",6723,-0.583415597235933
"255","10–14 Years","Te Tai Tonga","Male",6240,-0.583415597235933
"256","15–19 Years","Te Tai Tonga","Male",6240,-0.583415597235933
"257","20–24 Years","Te Tai Tonga","Male",5547,-0.583415597235933
"258","25–29 Years","Te Tai Tonga","Male",3855,-0.583415597235933
"259","30–34 Years","Te Tai Tonga","Male",3561,-0.583415597235933
"260","35–39 Years","Te Tai Tonga","Male",3618,-0.583415597235933
"261","40–44 Years","Te Tai Tonga","Male",3807,-0.583415597235933
"262","45–49 Years","Te Tai Tonga","Male",3477,-0.583415597235933
"263","50–54 Years","Te Tai Tonga","Male",3042,-0.583415597235933
"264","55–59 Years","Te Tai Tonga","Male",2346,-0.583415597235933
"265","60–64 Years","Te Tai Tonga","Male",1896,-0.583415597235933
"266","65–69 Years","Te Tai Tonga","Male",1206,-0.583415597235933
"267","70–74 Years","Te Tai Tonga","Male",915,-0.583415597235933
"268","75–79 Years","Te Tai Tonga","Male",444,-0.583415597235933
"269","80–84 Years","Te Tai Tonga","Male",237,-0.583415597235933
"270","85 Years And Over","Te Tai Tonga","Male",117,-0.583415597235933
"271","0–4 Years","Te Tai Tonga","Female",6630,-0.583415597235933
"272","5–9 Years","Te Tai Tonga","Female",6246,-0.583415597235933
"273","10–14 Years","Te Tai Tonga","Female",6057,-0.583415597235933
"274","15–19 Years","Te Tai Tonga","Female",6057,-0.583415597235933
"275","20–24 Years","Te Tai Tonga","Female",5772,-0.583415597235933
"276","25–29 Years","Te Tai Tonga","Female",4206,-0.583415597235933
"277","30–34 Years","Te Tai Tonga","Female",3954,-0.583415597235933
"278","35–39 Years","Te Tai Tonga","Female",4047,-0.583415597235933
"279","40–44 Years","Te Tai Tonga","Female",4314,-0.583415597235933
"280","45–49 Years","Te Tai Tonga","Female",3798,-0.583415597235933
"281","50–54 Years","Te Tai Tonga","Female",3453,-0.583415597235933
"282","55–59 Years","Te Tai Tonga","Female",2478,-0.583415597235933
"283","60–64 Years","Te Tai Tonga","Female",1833,-0.583415597235933
"284","65–69 Years","Te Tai Tonga","Female",1233,-0.583415597235933
"285","70–74 Years","Te Tai Tonga","Female",846,-0.583415597235933
"286","75–79 Years","Te Tai Tonga","Female",492,-0.583415597235933
"287","80–84 Years","Te Tai Tonga","Female",321,-0.583415597235933
"288","85 Years And Over","Te Tai Tonga","Female",204,-0.583415597235933
"289","0–4 Years","Manukau East","Male",3057,-0.495884096147514
"290","5–9 Years","Manukau East","Male",2721,-0.495884096147514
"291","10–14 Years","Manukau East","Male",2652,-0.495884096147514
"292","15–19 Years","Manukau East","Male",2775,-0.495884096147514
"293","20–24 Years","Manukau East","Male",2811,-0.495884096147514
"294","25–29 Years","Manukau East","Male",2334,-0.495884096147514
"295","30–34 Years","Manukau East","Male",2157,-0.495884096147514
"296","35–39 Years","Manukau East","Male",1959,-0.495884096147514
"297","40–44 Years","Manukau East","Male",2040,-0.495884096147514
"298","45–49 Years","Manukau East","Male",2004,-0.495884096147514
"299","50–54 Years","Manukau East","Male",1851,-0.495884096147514
"300","55–59 Years","Manukau East","Male",1482,-0.495884096147514
"301","60–64 Years","Manukau East","Male",1302,-0.495884096147514
"302","65–69 Years","Manukau East","Male",945,-0.495884096147514
"303","70–74 Years","Manukau East","Male",669,-0.495884096147514
"304","75–79 Years","Manukau East","Male",456,-0.495884096147514
"305","80–84 Years","Manukau East","Male",279,-0.495884096147514
"306","85 Years And Over","Manukau East","Male",195,-0.495884096147514
"307","0–4 Years","Manukau East","Female",2925,-0.495884096147514
"308","5–9 Years","Manukau East","Female",2559,-0.495884096147514
"309","10–14 Years","Manukau East","Female",2592,-0.495884096147514
"310","15–19 Years","Manukau East","Female",2670,-0.495884096147514
"311","20–24 Years","Manukau East","Female",2880,-0.495884096147514
"312","25–29 Years","Manukau East","Female",2610,-0.495884096147514
"313","30–34 Years","Manukau East","Female",2448,-0.495884096147514
"314","35–39 Years","Manukau East","Female",2250,-0.495884096147514
"315","40–44 Years","Manukau East","Female",2223,-0.495884096147514
"316","45–49 Years","Manukau East","Female",2100,-0.495884096147514
"317","50–54 Years","Manukau East","Female",1953,-0.495884096147514
"318","55–59 Years","Manukau East","Female",1557,-0.495884096147514
"319","60–64 Years","Manukau East","Female",1290,-0.495884096147514
"320","65–69 Years","Manukau East","Female",1020,-0.495884096147514
"321","70–74 Years","Manukau East","Female",825,-0.495884096147514
"322","75–79 Years","Manukau East","Female",600,-0.495884096147514
"323","80–84 Years","Manukau East","Female",408,-0.495884096147514
"324","85 Years And Over","Manukau East","Female",336,-0.495884096147514
"325","0–4 Years","Manurewa","Male",3594,-0.303277352030002
"326","5–9 Years","Manurewa","Male",3297,-0.303277352030002
"327","10–14 Years","Manurewa","Male",2988,-0.303277352030002
"328","15–19 Years","Manurewa","Male",2979,-0.303277352030002
"329","20–24 Years","Manurewa","Male",3072,-0.303277352030002
"330","25–29 Years","Manurewa","Male",2556,-0.303277352030002
"331","30–34 Years","Manurewa","Male",2340,-0.303277352030002
"332","35–39 Years","Manurewa","Male",2118,-0.303277352030002
"333","40–44 Years","Manurewa","Male",2292,-0.303277352030002
"334","45–49 Years","Manurewa","Male",2145,-0.303277352030002
"335","50–54 Years","Manurewa","Male",2073,-0.303277352030002
"336","55–59 Years","Manurewa","Male",1665,-0.303277352030002
"337","60–64 Years","Manurewa","Male",1374,-0.303277352030002
"338","65–69 Years","Manurewa","Male",1026,-0.303277352030002
"339","70–74 Years","Manurewa","Male",699,-0.303277352030002
"340","75–79 Years","Manurewa","Male",420,-0.303277352030002
"341","80–84 Years","Manurewa","Male",273,-0.303277352030002
"342","85 Years And Over","Manurewa","Male",183,-0.303277352030002
"343","0–4 Years","Manurewa","Female",3507,-0.303277352030002
"344","5–9 Years","Manurewa","Female",3150,-0.303277352030002
"345","10–14 Years","Manurewa","Female",2949,-0.303277352030002
"346","15–19 Years","Manurewa","Female",3051,-0.303277352030002
"347","20–24 Years","Manurewa","Female",3174,-0.303277352030002
"348","25–29 Years","Manurewa","Female",2967,-0.303277352030002
"349","30–34 Years","Manurewa","Female",2739,-0.303277352030002
"350","35–39 Years","Manurewa","Female",2421,-0.303277352030002
"351","40–44 Years","Manurewa","Female",2472,-0.303277352030002
"352","45–49 Years","Manurewa","Female",2406,-0.303277352030002
"353","50–54 Years","Manurewa","Female",2292,-0.303277352030002
"354","55–59 Years","Manurewa","Female",1866,-0.303277352030002
"355","60–64 Years","Manurewa","Female",1491,-0.303277352030002
"356","65–69 Years","Manurewa","Female",1116,-0.303277352030002
"357","70–74 Years","Manurewa","Female",741,-0.303277352030002
"358","75–79 Years","Manurewa","Female",480,-0.303277352030002
"359","80–84 Years","Manurewa","Female",399,-0.303277352030002
"360","85 Years And Over","Manurewa","Female",306,-0.303277352030002
"361","0–4 Years","Rongotai","Male",2217,-0.255223589142746
"362","5–9 Years","Rongotai","Male",1989,-0.255223589142746
"363","10–14 Years","Rongotai","Male",1794,-0.255223589142746
"364","15–19 Years","Rongotai","Male",1842,-0.255223589142746
"365","20–24 Years","Rongotai","Male",2598,-0.255223589142746
"366","25–29 Years","Rongotai","Male",2454,-0.255223589142746
"367","30–34 Years","Rongotai","Male",2478,-0.255223589142746
"368","35–39 Years","Rongotai","Male",2457,-0.255223589142746
"369","40–44 Years","Rongotai","Male",2445,-0.255223589142746
"370","45–49 Years","Rongotai","Male",2298,-0.255223589142746
"371","50–54 Years","Rongotai","Male",2115,-0.255223589142746
"372","55–59 Years","Rongotai","Male",1614,-0.255223589142746
"373","60–64 Years","Rongotai","Male",1404,-0.255223589142746
"374","65–69 Years","Rongotai","Male",978,-0.255223589142746
"375","70–74 Years","Rongotai","Male",717,-0.255223589142746
"376","75–79 Years","Rongotai","Male",510,-0.255223589142746
"377","80–84 Years","Rongotai","Male",402,-0.255223589142746
"378","85 Years And Over","Rongotai","Male",312,-0.255223589142746
"379","0–4 Years","Rongotai","Female",2121,-0.255223589142746
"380","5–9 Years","Rongotai","Female",1962,-0.255223589142746
"381","10–14 Years","Rongotai","Female",1728,-0.255223589142746
"382","15–19 Years","Rongotai","Female",1722,-0.255223589142746
"383","20–24 Years","Rongotai","Female",2736,-0.255223589142746
"384","25–29 Years","Rongotai","Female",2715,-0.255223589142746
"385","30–34 Years","Rongotai","Female",2751,-0.255223589142746
"386","35–39 Years","Rongotai","Female",2724,-0.255223589142746
"387","40–44 Years","Rongotai","Female",2718,-0.255223589142746
"388","45–49 Years","Rongotai","Female",2583,-0.255223589142746
"389","50–54 Years","Rongotai","Female",2259,-0.255223589142746
"390","55–59 Years","Rongotai","Female",1776,-0.255223589142746
